kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
10,2,2009-06-01,2498956,7.72,0.64,0.66,0.69
11,2,2009-06-01,1743013,5.67,0.47,0.48,0.51
12,2,2009-06-01,1277459,4.24,0.35,0.36,0.38
13,2,2009-06-01,1668992,5.08,0.42,0.43,0.45
0,3,2009-06-01,6426405,16.07,1.34,1.36,1.43
1,3,2009-06-01,2048068,6.29,0.52,0.54,0.56
2,3,2009-06-01,2912948,9.21,0.77,0.78,0.82
3,3,2009-06-01,2686902,8.38,0.70,0.71,0.75
5,3,2009-06-01,2242006,7.35,0.61,0.62,0.66
6,3,2009-06-01,1825252,5.78,0.48,0.49,0.52
7,3,2009-06-01,2045526,6.18,0.52,0.53,0.55
8,3,2009-06-01,3332901,8.96,0.75,0.76,0.80
9,3,2009-06-01,966913,3.15,0.26,0.27,0.28
10,3,2009-06-01,3259629,10.07,0.84,0.85,0.90
11,3,2009-06-01,2111395,6.87,0.57,0.58,0.61
12,3,2009-06-01,1633418,5.43,0.45,0.46,0.48
13,3,2009-06-01,2440750,7.44,0.62,0.63,0.66
14,0,2009-06-01,1226495,3.44,0.29,0.29,0.31
14,1,2009-06-01,1578753,4.43,0.37,0.38,0.40
14,2,2009-06-01,1913597,5.37,0.45,0.46,0.48
14,3,2009-06-01,2443589,6.86,0.57,0.58,0.61
0,4,2009-06-01,3999156,10.00,0.83,0.85,0.89
1,4,2009-06-01,1592854,4.89,0.41,0.42,0.44
2,4,2009-06-01,1625311,5.14,0.43,0.44,0.46
3,4,2009-06-01,1718009,5.36,0.45,0.46,0.48
4,4,2009-06-01,1374683,4.12,0.34,0.35,0.37
5,4,2009-06-01,1435205,4.70,0.39,0.40,0.42
6,4,2009-06-01,1262613,4.00,0.33,0.34,0.36
7,4,2009-06-01,1872499,5.65,0.47,0.48,0.51
8,4,2009-06-01,1990392,5.35,0.45,0.46,0.48
9,4,2009-06-01,818418,2.66,0.22,0.23,0.24
10,4,2009-06-01,2184599,6.75,0.56,0.57,0.60
11,4,2009-06-01,1575760,5.13,0.43,0.44,0.46
12,4,2009-06-01,1162264,3.86,0.32,0.33,0.34
13,4,2009-06-01,1556659,4.74,0.40,0.40,0.42
14,4,2009-06-01,2053101,5.76,0.48,0.49,0.51
